2022-12-23T14:14:25.581223Z	   69 Query	commit
2022-12-23T14:14:25.581248Z	   51 Execute	SELECT ct_name FROM cash_transaction WHERE ct_t_id = 200000005512190
2022-12-23T14:14:25.581298Z	   83 Query	commit
2022-12-23T14:14:25.581486Z	   46 Execute	SELECT DATE_FORMAT(th_dts, '%Y-%m-%d %H:%i:%s.%f'), th_st_id FROM trade_history WHERE th_t_id = 200000002864069 ORDER BY th_dts LIMIT 3
2022-12-23T14:14:25.581614Z	   74 Execute	SELECT s_name, co_id, co_name, co_sp_rate, co_ceo, co_desc, DATE_FORMAT(co_open_date,'%Y-%m-%d'), co_st_id, ca.ad_line1, ca.ad_line2, zca.zc_town, zca.zc_div, ca.ad_zc_code, ca.ad_ctry, s_num_out, DATE_FORMAT(s_start_date,'%Y-%m-%d'), DATE_FORMAT(s_exch_date,'%Y-%m-%d'), s_pe, s_52wk_high, DATE_FORMAT(s_52wk_high_date,'%Y-%m-%d'), s_52wk_low, DATE_FORMAT(s_52wk_low_date,'%Y-%m-%d'), s_dividend, s_yield, zea.zc_div, ea.ad_ctry, ea.ad_line1, ea.ad_line2, zea.zc_town, ea.ad_zc_code, ex_close, ex_desc, ex_name, ex_num_symb, ex_open FROM security, company, address ca, address ea, zip_code zca, zip_code zea, exchange WHERE s_symb = 'BNL' AND co_id = s_co_id AND ca.ad_id = co_ad_id AND ea.ad_id = ex_ad_id AND ex_id = s_ex_id AND ca.ad_zc_code = zca.zc_code AND ea.ad_zc_code = zea.zc_code
2022-12-23T14:14:25.581898Z	   69 Execute	SET TRANSACTION ISOLATION LEVEL READ COMMITTED
2022-12-23T14:14:25.581918Z	   16 Close stmt	
2022-12-23T14:14:25.581960Z	   42 Close stmt	
2022-12-23T14:14:25.581971Z	   69 Execute	SELECT t_id, DATE_FORMAT(t_dts,'%Y-%m-%d %H:%i:%s.%f'), st_name, tt_name, t_s_symb, t_qty, t_exec_name, t_chrg, s_name, ex_name FROM trade, status_type FORCE INDEX(PRIMARY), trade_type FORCE INDEX(PRIMARY), security, exchange WHERE t_ca_id = 43000035292 AND st_id = t_st_id AND tt_id = t_tt_id AND s_symb = t_s_symb AND ex_id = s_ex_id ORDER BY t_dts DESC LIMIT 50
2022-12-23T14:14:25.582126Z	   16 Prepare	SELECT LAST_INSERT_ID()
2022-12-23T14:14:25.582142Z	   56 Execute	SELECT ca_id, ca_bal, COALESCE(SUM(hs_qty * lt_price),0) AS price_sum FROM customer_account LEFT OUTER JOIN holding_summary ON hs_ca_id = ca_id, last_trade WHERE ca_c_id = 4300002533 AND lt_s_symb = hs_s_symb GROUP BY ca_id,ca_bal ORDER BY price_sum ASC LIMIT 10
2022-12-23T14:14:25.582524Z	   16 Execute	SELECT LAST_INSERT_ID()
2022-12-23T14:14:25.582550Z	   70 Execute	SELECT se_amt, DATE_FORMAT(se_cash_due_date, '%Y-%m-%d'), se_cash_type FROM settlement WHERE se_t_id = 200000005764062
2022-12-23T14:14:25.582635Z	   25 Execute	SELECT ct_amt, DATE_FORMAT(ct_dts, '%Y-%m-%d %H:%i:%s.%f'), ct_name FROM cash_transaction WHERE ct_t_id = 200000005373099
2022-12-23T14:14:25.582699Z	   42 Prepare	UPDATE seq_trade_id SET id=LAST_INSERT_ID(id+1)
2022-12-23T14:14:25.582704Z	   51 Execute	UPDATE cash_transaction SET ct_name = 'Market-Sell 200 Shares of COMMON of Ameron International Corporation' WHERE ct_t_id = 200000005512190
